+====================+===================+=============================+
| Launch Setup Clock | Launch Hold Clock | Pin                         |
+====================+===================+=============================+
| sys_clk_pin        | sys_clk_pin       | v/ai/ascii_flat_reg[1173]/D |
| sys_clk_pin        | sys_clk_pin       | v/ai/ascii_flat_reg[757]/D  |
| sys_clk_pin        | sys_clk_pin       | v/ai/ascii_flat_reg[1493]/D |
| sys_clk_pin        | sys_clk_pin       | v/ai/ascii_flat_reg[1237]/D |
| sys_clk_pin        | sys_clk_pin       | v/ai/ascii_flat_reg[1109]/D |
| sys_clk_pin        | sys_clk_pin       | v/ai/ascii_flat_reg[1431]/D |
| sys_clk_pin        | sys_clk_pin       | v/ai/ascii_flat_reg[1365]/D |
| sys_clk_pin        | sys_clk_pin       | v/ai/ascii_flat_reg[1397]/D |
| sys_clk_pin        | sys_clk_pin       | v/ai/ascii_flat_reg[1941]/D |
| sys_clk_pin        | sys_clk_pin       | v/ai/ascii_flat_reg[1877]/D |
| sys_clk_pin        | sys_clk_pin       | v/ai/ascii_flat_reg[1525]/D |
| sys_clk_pin        | sys_clk_pin       | v/ai/ascii_flat_reg[1269]/D |
| sys_clk_pin        | sys_clk_pin       | v/ai/ascii_flat_reg[1137]/D |
| sys_clk_pin        | sys_clk_pin       | v/ai/ascii_flat_reg[1905]/D |
| sys_clk_pin        | sys_clk_pin       | v/ai/ascii_flat_reg[1233]/D |
| sys_clk_pin        | sys_clk_pin       | v/ai/ascii_flat_reg[1393]/D |
| sys_clk_pin        | sys_clk_pin       | v/ai/ascii_flat_reg[1557]/D |
| sys_clk_pin        | sys_clk_pin       | v/ai/ascii_flat_reg[1265]/D |
| sys_clk_pin        | sys_clk_pin       | v/ai/ascii_flat_reg[1521]/D |
| sys_clk_pin        | sys_clk_pin       | v/ai/ascii_flat_reg[1813]/D |
| sys_clk_pin        | sys_clk_pin       | v/ai/ascii_flat_reg[1685]/D |
| sys_clk_pin        | sys_clk_pin       | v/ai/ascii_flat_reg[469]/D  |
| sys_clk_pin        | sys_clk_pin       | v/ai/ascii_flat_reg[1361]/D |
| sys_clk_pin        | sys_clk_pin       | v/ai/ascii_flat_reg[1870]/D |
